time,open,high,low,close,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,Up Trend2,UpTrend Begins2,Buy2,Down Trend2,DownTrend Begins2,Sell2,,Upper Bollinger Band,Lower Bollinger Band,Bars since last closed trade,Diosc,Previous-diosc,Previous-sma,TR,Up,Down,Plus,Diosc-signal,Minus
1567958400,10000,10357.53,10000,10340.12,NaN,NaN,NaN,NaN,NaN,NaN,10174.4125,NaN,NaN,NaN,NaN,NaN,NaN,10174.4125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1567972800,10340.12,10412.65,10324.77,10391.63,NaN,NaN,NaN,NaN,NaN,NaN,10367.2925,NaN,NaN,NaN,NaN,NaN,NaN,10367.2925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.11999999999898,-324.77000000000044,NaN,NaN,NaN
1567987200,10316.62,10316.68,10267.37,10297.89,NaN,NaN,NaN,NaN,NaN,NaN,10299.640000000001,NaN,NaN,NaN,NaN,NaN,NaN,10299.640000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-95.96999999999935,57.399999999999636,NaN,NaN,NaN
1568001600,10297.89,10316.34,10092.71,10149.47,9529.9027,NaN,NaN,NaN,NaN,NaN,10214.102499999999,9529.9027,NaN,NaN,NaN,NaN,NaN,10214.102499999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3400000000001455,174.66000000000167,NaN,NaN,NaN
1568016000,10149.47,10475.54,10077.22,10414.6,9638.836605,NaN,NaN,NaN,NaN,NaN,10279.2075,9638.836605,NaN,NaN,NaN,NaN,NaN,10279.2075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,159.20000000000073,15.489999999999782,NaN,NaN,NaN
1568030400,10411.7,10411.7,10302.69,10314.26,9645.035743749999,NaN,NaN,NaN,NaN,NaN,10360.087500000001,9645.035743749999,NaN,NaN,NaN,NaN,NaN,10360.087500000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-63.840000000000146,-225.47000000000116,NaN,NaN,NaN
1568044800,10314.26,10333.55,10183.31,10308.87,9689.6143678125,NaN,NaN,NaN,NaN,NaN,10284.9975,9689.6143678125,NaN,NaN,NaN,NaN,NaN,10284.9975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-78.15000000000146,119.38000000000102,NaN,NaN,NaN
1568059200,10307.8,10420.65,10228.28,10307,9692.317305859375,NaN,NaN,NaN,NaN,NaN,10315.932499999999,9692.317305859375,NaN,NaN,NaN,NaN,NaN,10315.932499999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.10000000000036,-44.970000000001164,NaN,NaN,NaN
1568073600,10307,10382.97,10266.61,10307.25,9755.360819394533,NaN,NaN,NaN,NaN,NaN,10315.9575,9755.360819394533,NaN,NaN,NaN,NaN,NaN,10315.9575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-37.68000000000029,-38.32999999999993,NaN,NaN,NaN
1568088000,10309.17,10329.24,10226.81,10272.46,9778.545284545899,NaN,NaN,NaN,NaN,NaN,10284.42,9778.545284545899,NaN,NaN,NaN,NaN,NaN,10284.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-53.72999999999956,39.80000000000109,NaN,NaN,NaN
